point,e_1,e_2,e_3,e_4,e_5,e_6,e_7,e_8,bars,beat,time_value,finger
0,-0.007874,-0.007874,0.007874,-0.07874,-0.141732,0.125984,0.007874,0.19685,7,1,0.804233,0
1,0.015748,0.,-0.015748,0.062992,0.188976,0.070866,0.023622,-0.094488,7,1,0.784883,0
2,-0.007874,-0.015748,-0.023622,-0.015748,-0.212598,-0.055118,-0.023622,0.07874,7,1,0.765533,0
3,0.015748,-0.007874,0.015748,-0.007874,0.102362,0.,-0.015748,0.102362,7,1,0.765533,0
4,-0.015748,-0.023622,0.,0.031496,-0.070866,-0.031496,-0.031496,0.03937,7,1,0.765533,0
5,0.,-0.023622,-0.023622,-0.047244,-0.015748,-0.055118,-0.007874,0.110236,7,1,0.746183,0
6,-0.023622,-0.015748,-0.007874,-0.086614,-0.11811,0.,-0.03937,0.11811,7,1,0.746183,0
7,-0.007874,0.,0.,0.070866,-0.007874,0.007874,0.023622,0.062992,7,1,0.746183,0
8,0.,-0.007874,0.,0.062992,0.110236,0.055118,0.031496,0.062992,7,1,0.746183,0
9,-0.015748,0.015748,-0.007874,-0.031496,-0.062992,0.031496,-0.007874,0.086614,7,1,0.707483,0
10,-0.007874,-0.007874,-0.023622,0.,0.03937,-0.023622,0.,0.023622,7,1,0.707483,0
11,0.,-0.007874,-0.015748,0.007874,0.,0.007874,0.,0.015748,7,1,0.707483,0
12,-0.015748,-0.007874,-0.023622,-0.007874,0.11811,0.03937,-0.023622,0.188976,7,1,0.707483,0
13,-0.007874,0.007874,-0.007874,0.023622,-0.11811,-0.086614,0.007874,-0.007874,7,1,0.668783,0
14,-0.015748,0.,-0.03937,-0.070866,-0.047244,-0.047244,-0.007874,-0.047244,7,1,0.668783,0
15,-0.007874,0.,0.015748,-0.015748,0.07874,0.015748,-0.007874,0.102362,7,1,0.668783,0
16,0.007874,-0.007874,0.,-0.03937,0.023622,0.047244,0.007874,0.023622,7,1,0.649433,0
17,0.,-0.007874,-0.015748,-0.031496,-0.055118,-0.03937,-0.047244,0.228346,7,1,0.649433,0
